"filesize" "bam" "longTRT" "Replicate" "Sex" "TRT" "REP" "REPrep" "Num" "Proportion"
"1" 0 "AgeSY10_R1_F" "AgeSY10" "R1" FALSE "Z" 1 1 314 0.0358
"2" 0 "AgeSY10_R3_F" "AgeSY10" "R3" FALSE "Z" 3 1 384 0.0368
"3" 0 "AgeSY10_R5_F" "AgeSY10" "R5" FALSE "Z" 5 1 687 0.0701
"4" 0 "AgeSY10_R7_F" "AgeSY10" "R7" FALSE "Z" 7 1 544 0.0522
"5" 0 "AgeSY10_R9_F" "AgeSY10" "R9" FALSE "Z" 9 1 417 0.0401
"6" 0 "AgeSY10_R11_F" "AgeSY10" "R11" FALSE "Z" 11 1 392 0.0352
"7" 0 "Con_R1_F" "Con" "R1" FALSE "C" 1 1 720 NA
"8" 0 "Con_R3_F" "Con" "R3" FALSE "C" 3 1 610 NA
"9" 0 "Con_R5_F" "Con" "R5" FALSE "C" 5 1 710 NA
"10" 0 "Con_R7_F" "Con" "R7" FALSE "C" 7 1 635 NA
"11" 0 "Con_R9_F" "Con" "R9" FALSE "C" 9 1 607 NA
"12" 0 "Con_R11_F" "Con" "R11" FALSE "C" 11 1 704 NA
